time;AAN155Free;AAN155_Ba
322,26563;6,40E+01;9,14E+02
322,876;6,60E+01;9,40E+02
323,48633;8,40E+01;9,24E+02
324,09668;5,50E+01;9,33E+02
324,707;6,70E+01;9,04E+02
325,31738;6,00E+01;9,18E+02
325,92773;7,00E+01;9,63E+02
326,53809;7,00E+01;9,57E+02
327,14844;7,10E+01;9,24E+02
327,75879;7,10E+01;8,78E+02
328,36914;7,20E+01;9,25E+02
328,97949;6,00E+01;9,41E+02
329,58984;6,60E+01;9,51E+02
330,2002;6,80E+01;9,38E+02
330,81055;4,90E+01;9,60E+02
331,4209;5,70E+01;9,63E+02
332,03125;6,60E+01;9,43E+02
332,6416;5,40E+01;9,23E+02
333,252;8,10E+01;9,61E+02
333,8623;6,30E+01;9,24E+02
334,47266;6,60E+01;8,87E+02
335,083;6,30E+01;8,89E+02
335,69336;6,70E+01;8,96E+02
336,30371;6,40E+01;9,63E+02
336,91406;6,30E+01;9,24E+02
337,52441;5,60E+01;9,04E+02
338,13477;5,50E+01;8,80E+02
338,74512;6,90E+01;8,96E+02
339,35547;7,10E+01;9,40E+02
339,96582;7,40E+01;9,22E+02
340,57617;6,20E+01;9,50E+02
341,18652;6,20E+01;9,11E+02
341,79688;7,70E+01;9,14E+02
342,40723;6,40E+01;8,90E+02
343,01758;6,20E+01;8,82E+02
343,62793;6,90E+01;9,25E+02
344,23828;6,50E+01;8,78E+02
344,84863;5,30E+01;9,33E+02
345,459;7,10E+01;9,03E+02
346,06934;6,50E+01;8,83E+02
346,67969;6,50E+01;9,55E+02
347,29;5,80E+01;9,26E+02
347,90039;6,20E+01;9,31E+02
348,51074;6,10E+01;8,97E+02
349,12109;5,20E+01;8,83E+02
349,73145;6,50E+01;9,52E+02
350,3418;5,70E+01;8,07E+02
350,95215;5,30E+01;9,12E+02
351,5625;6,50E+01;8,93E+02
352,17285;6,10E+01;9,08E+02
352,7832;4,60E+01;9,35E+02
353,39355;6,30E+01;8,65E+02
354,00391;5,60E+01;9,33E+02
354,61426;5,60E+01;9,15E+02
355,22461;4,90E+01;8,60E+02
355,835;6,40E+01;8,74E+02
356,44531;5,40E+01;8,62E+02
357,05566;6,20E+01;8,59E+02
357,666;5,40E+01;8,63E+02
358,27637;4,60E+01;8,82E+02
358,88672;6,40E+01;8,71E+02
359,49707;5,50E+01;8,72E+02
360,10742;6,00E+01;9,11E+02
360,71777;5,20E+01;8,62E+02
361,32813;7,00E+01;9,16E+02
361,93848;4,70E+01;8,92E+02
362,54883;5,30E+01;8,62E+02
363,15918;5,00E+01;8,96E+02
363,76953;6,10E+01;8,77E+02
364,37988;7,40E+01;9,01E+02
364,99023;6,40E+01;9,16E+02
365,60059;5,20E+01;8,43E+02
366,21094;4,80E+01;9,55E+02
366,82129;6,10E+01;8,82E+02
367,43164;4,90E+01;8,97E+02
368,042;6,50E+01;8,63E+02
368,65234;5,90E+01;8,81E+02
369,2627;6,10E+01;9,09E+02
369,873;5,90E+01;8,79E+02
370,4834;4,20E+01;8,51E+02
371,09375;6,80E+01;8,33E+02
371,7041;5,50E+01;8,72E+02
372,31445;4,60E+01;8,10E+02
372,9248;4,20E+01;8,29E+02
373,53516;5,50E+01;8,18E+02
374,14551;5,30E+01;8,94E+02
374,75586;4,80E+01;8,51E+02
375,36621;4,30E+01;8,86E+02
375,97656;5,40E+01;8,48E+02
376,58691;5,30E+01;8,48E+02
377,19727;4,30E+01;8,15E+02
377,80762;4,00E+01;8,34E+02
378,418;5,70E+01;8,64E+02
379,02832;6,20E+01;8,52E+02
379,63867;6,00E+01;8,38E+02
380,249;5,00E+01;8,70E+02
380,85938;5,70E+01;8,11E+02
381,46973;5,00E+01;8,95E+02
